,Código comuna,Región,Nombre comuna,Número de personas en situación de pobreza por ingresos,Porcentaje de personas en situación de pobreza por ingresos 2015,Límite inferior,Límite superior,Metodología de Estimación
99,6203,VI del Libertador General Bernardo O'Higgins ,Litueche,806.905,0.14773069322109222,0.09022009372711182,0.23190318048000336,SAE
100,6204,VI del Libertador General Bernardo O'Higgins ,Marchihue,995.2583,0.12515823543071747,0.066890187561512,0.1910223513841629,SAE
101,6205,VI del Libertador General Bernardo O'Higgins ,Navidad,1115.841,0.20598866045475006,0.15236787497997284,0.3235844075679779,SAE
102,6206,VI del Libertador General Bernardo O'Higgins ,Paredones,1379.274,0.2061387449502945,0.11246561259031296,0.2643706798553467,SAE
103,6301,VI del Libertador General Bernardo O'Higgins ,San Fernando,7986,0.10679326206445694,0.07862916588783264,0.1434745192527771,Estimación Directa
104,6302,VI del Libertador General Bernardo O'Higgins ,Chepica,3625.16,0.2675197720527649,0.2070028930902481,0.37683412432670593,SAE
105,6303,VI del Libertador General Bernardo O'Higgins ,Chimbarongo,7449,0.21327950060367584,0.1396467238664627,0.31167250871658325,Estimación Directa
106,6304,VI del Libertador General Bernardo O'Higgins ,Lolol,1489.979,0.22412432730197906,0.14240610599517822,0.3056026101112366,SAE
107,6305,VI del Libertador General Bernardo O'Higgins ,Nancagua,2775.509,0.1585642397403717,0.09248307347297668,0.23141296207904816,SAE
108,6306,VI del Libertador General Bernardo O'Higgins ,Palmilla,1858.36,0.15882061421871185,0.09599999338388443,0.228838711977005,SAE
109,6307,VI del Libertador General Bernardo O'Higgins ,Peralillo,1413.079,0.13303323090076447,0.06954627484083176,0.1896955817937851,SAE
110,6308,VI del Libertador General Bernardo O'Higgins ,Placilla,1737.422,0.20342136919498444,0.13649559020996094,0.28696998953819275,SAE
111,6309,VI del Libertador General Bernardo O'Higgins ,Pumanque,283.0427,0.094253309071064,0.019646447151899338,0.12090978771448135,SAE
